"Year <div style=""width:30px"" div>","Citation <div style=""width:350px"" div>",DOI,"UMN shared drive <div style=""width:150px"" div>","Data <div style=""width:150px"" div>",Code
2015,"Cavender-Bares J., et al. 2015. Phylogeny and biogeography of the American live oaks (Quercus subsection Virentes): a genomic and population genetics approach. Molecular Ecology 24: 3668-3687",[10.1111/mec.13269](https://onlinelibrary.wiley.com/doi/10.1111/mec.13269),!Path: Lab-cavender > 4_Project_Folders > Live Oaks > Live oak phylogeography II,"[RADseq](https://www.ncbi.nlm.nih.gov/sra/?term=PRJNA277574), [Accession #s](https://drive.google.com/file/d/18K6xfZ8V71S3T3J_FIAjbsUZGAdEv5Sf/view?usp=sharing) on [GenBank](https://www.ncbi.nlm.nih.gov/genbank/), [Dryad](https://datadryad.org/stash/dataset/doi:10.5061/dryad.855pg)",     &nbsp;
2011,"Cavender-Bares J., et al. 2011. Phylogeography and climatic niche evolution in live oaks (Quercus series Virentes) from the tropics to the temperate zone. Journal of Biogeography 38(5): 962-981",[10.1111/j.1365-2699.2010.02451.x](https://cbs.umn.edu/sites/default/files/public/downloads/2011_Cavender-Bares_et_al_JBI.pdf),!Path: Lab-cavender > 4_Project_Folders > Live Oaks > Live oak phylogeography II,     &nbsp;,     &nbsp;
2009,"Cavender-Bares J. and Pahlich A. 2009. Molecular, morphological, and ecological niche differentiation of sympatric sister oak species, Quercus virginiana and Q. geminata (Fagaceae). American Journal of Botany 96(9): 1690-1702.",[10.3732/ajb.0800315](https://bsapubs.onlinelibrary.wiley.com/doi/full/10.3732/ajb.0800315),!Path: Lab-cavender > 4_Project_Folders > Live Oaks >,     &nbsp;,     &nbsp;
2015,"Deacon N.J. and Cavender-Bares J. 2015. Limited Pollen Dispersal Contributes to Population Genetic Structure but Not Local Adaptation in Quercus oleoides Forests of Costa Rica. PLoS ONE, 10(9): e0138783. doi:10.1371/journal.pone.013878",[10.1371/journal.pone.0138783](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0138783),!Path: Lab-cavender > 4_Project_Folders > Live Oaks >,     &nbsp;,     &nbsp;
2011,Guggar P.F. and Cavender-Bares J. 2011. Molecular and morphogical support for a Florida origin of the Cuban oak. Journal of Biogeography.,[10.1111/j.1365-2699.2011.02610.x](https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2011.02610.x),!Path: Lab-cavender > 4_Project_Folders > Live Oaks >,     &nbsp;,     &nbsp;
